Nr,X,Y,H,Kodi,Përshkrimi,Burimi
PK1,7515395.667,4692703.006,616.2969,11,Monoment,PM
736063,7515418.492,4692554.63,905.35,2,Kunjë - shtyllë metalik,PM
736064,7515427.351,4692521.387,903.754,2,Kunjë - shtyllë metalik,PM
736152,7515359.36,4692531.51,902.838,2,Kunjë - shtyllë metalik,PM
736164,7515336.041,4692534.979,902.711,2,Kunjë - shtyllë metalik,PM
736165,7515312.36,4692538.5,901.521,2,Kunjë - shtyllë metalik,PM
736166,7515289.01,4692541.98,879.715,2,Kunjë - shtyllë metalik,PM
736167,7515265.83,4692545.43,880.462,2,Kunjë - shtyllë metalik,PM
736182,7515258.706,4692546.49,881.013,2,Kunjë - shtyllë metalik,PM
736183,7515250.365,4692581.535,884.904,2,Kunjë - shtyllë metalik,PM
736184,7515357.727,4692565.867,901.634,2,Kunjë - shtyllë metalik,PM
736185,7515378.62,4692565.82,899.754,2,Kunjë - shtyllë metalik,PM
736186,7515378.36,4692567.113,896.862,2,Kunjë - shtyllë metalik,PM
736187,7515384.555,4692567.943,890.697,2,Kunjë - shtyllë metalik,PM
736188,7515388.343,4692552.745,892.314,2,Kunjë - shtyllë metalik,PM
1,7515310.072,4692572.822,615.967,2,Kunjë - shtyllë metalik,PM
2,7515305.216,4692539.544,615.888,2,Kunjë - shtyllë metalik,PM
10,7515350.833,4692566.873,615.598,2,Kunjë - shtyllë metalik,PM
11,7515352.601,4692532.516,615.472,2,Kunjë - shtyllë metalik,PM
